Name,Address,Location,Latitude,Longitude,Zip Code
Ck 1,"5610 N Interstate 35, Austin, TX 78751","Austin,TX",30.3161337,-97.7083756,78751
Ck 2,"1809 MANOR RD , AUSTIN, TX 78722","Austin,TX",30.28354045,-97.72256825,78722
Ck 3,"7601 N LAMAR BLVD , AUSTIN, TX 78752","Austin,TX",30.3438588,-97.7141965,78752
Ck 4,"604 WILLIAMS ST , AUSTIN, TX 78752","Austin,TX",30.3348258,-97.719101,78752
Ck 5,"3301 STECK AVE , AUSTIN, TX 78757","Austin,TX",30.366347,-97.739207,78757
Ck 6,"2828 GUADALUPE ST , AUSTIN, TX 78705","Austin,TX",30.295019,-97.743089,78705
Ck 7," 2335 Main St, Buda, TX 78610","Austin,TX",30.0886634,-97.8123432,78610
Ck 8,"5700 MANCHACA RD , AUSTIN, TX 78745","Austin,TX",30.1681456,-97.8306068,78745
Ck 9,"6705 HWY 290 W , AUSTIN, TX 78749","Austin,TX",30.2333861,-97.8659427,78749
Ck 10,"301 W RIVERSIDE DR , AUSTIN, TX 78704","Austin,TX",30.258172000000002,-97.7487146156088,78704
Ck 11,"2712 BEE CAVES RD , ROLLINGWOOD, TX 78746","Austin,TX",30.2717638,-97.7866543,78746
Ck 12,"3801 CAPITAL OF TEXAS HWY N , AUSTIN, TX 78746","Austin,TX",30.337539,-97.8037586,78746
Ck 13,"11215 SI 35, Austin, TX 78747","Austin,TX",30.137381,-97.7958965,78747
Ck 14," 2323 San Antonio St, AUSTIN, TX 78705","Austin,TX",30.2873,-97.742443,78705
Ck 15,"1825 MCBEE ST , AUSTIN, TX 78723","Austin,TX",30.2979218,-97.7049618,78723
Ck 16," 4521 West Gate Blvd, Austin, TX 78745","Austin,TX",30.231686,-97.800124,78745
Ck 17," 9710 N Lamar Blvd, Austin, TX 78753","Austin,TX",30.367218,-97.695534,78753
Ck 18,"2702 E Cesar Chavez St,  Austin, TX 78702","Austin,TX",30.25361125,-97.71391612454622,78702
Ck 19,"2134 E 7th St,  Austin, TX 78702","Austin,TX",30.261715975206613,-97.71827268595041,78702
Ck 20,"5317 Nuckols Crossing Rd,  Austin, TX 78744","Austin,TX",30.192247,-97.739368,78744
Ck 21,"1304 E Cesar Chavez St, Austin, TX 78702","Austin,TX",30.259625,-97.73104806813694,78702
Ck 22,"716 Congress Ave,  Austin, TX 78701","Austin,TX",30.269671,-97.742501,78701
Ck 23,"5241 N Lamar Blvd, Austin, TX, 7851","Austin,TX",30.320574,-97.729343, 7851
Ck 24,"7900 RANCH ROAD 620 N , AUSTIN, TX 78726","Austin,TX",30.414069,-97.849318,78726
Ck 25,"11910 Research Blvd, Austin, TX 78759","Austin,TX",30.42431335,-97.75069005,78759
